Cbench started.
Measure Mode: wall_time
Thread ID: 7027060
Fiber ID: 11979780
Total: 126.741162
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01      0.054     0.016     0.000     0.038      436  *Module#module_eval
  0.01      0.109     0.016     0.000     0.093     5734  *Array#each
  0.01      0.559     0.010     0.001     0.548      604  *Kernel#require
  0.01      0.008     0.008     0.000     0.000     3100   Symbol#to_s
  0.01      0.007     0.007     0.000     0.000     6356   Symbol#to_sym
  0.01      0.147     0.007     0.000     0.141     5426  *Class#new
  0.00      0.018     0.005     0.000     0.013      857   BinData::Registry#underscore_name
  0.00      0.005     0.005     0.000     0.000      624   IO#set_encoding
  0.00      0.006     0.005     0.000     0.001      149   Module#class_eval
  0.00      0.004     0.004     0.000     0.000     1804   String#gsub
  0.00      0.011     0.004     0.000     0.006     2792   Kernel#dup
  0.00      0.007     0.004     0.000     0.003     2860   Kernel#initialize_dup
  0.00      0.004     0.004     0.000     0.000     2936   Module#method_added
  0.00      0.004     0.004     0.000     0.000      292   Kernel#define_singleton_method
  0.00      0.004     0.004     0.000     0.000      971   String#sub
  0.00      0.003     0.003     0.000     0.000     3413   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.018     0.003     0.000     0.014     1516   Array#map
  0.00      0.003     0.003     0.000     0.000     6858   Kernel#nil?
  0.00      0.003     0.003     0.000     0.000     1586   Regexp#=~
  0.00      0.003     0.003     0.000     0.000     5412   Kernel#hash
  0.00      0.006     0.003     0.000     0.003     1705  *Hash#each
  0.00      0.003     0.003     0.000     0.000       96   <Class::Dir>#[]
  0.00      0.009     0.003     0.000     0.006     2973   BinData::DSLMixin::DSLParser#option?
  0.00      0.009     0.003     0.000     0.006     1961  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.00      0.002     0.002     0.000     0.000     3196   BasicObject#!
  0.00      0.006     0.002     0.000     0.004     2281  *BinData::DSLMixin::DSLParser#endian
  0.00      0.002     0.002     0.000     0.000     3405   Gem::Dependency#type
  0.00      0.002     0.002     0.000     0.000     4458   Array#include?
  0.00      0.009     0.002     0.000     0.006     1812  *BinData::DSLMixin::DSLParser#fields
  0.00      0.006     0.002     0.000     0.004     1723  *BinData::DSLMixin#dsl_parser
  0.00      0.002     0.002     0.000     0.000      901   String#downcase
  0.00      0.008     0.002     0.000     0.006      519   Enumerable#sort_by
  0.00      0.006     0.002     0.000     0.004     2461   BinData::SanitizedField#name_as_sym
  0.00      0.002     0.002     0.000     0.000     1725   Hash#[]=
  0.00      0.082     0.002     0.000     0.080      638  *BinData::SanitizedPrototype#initialize
  0.00      0.100     0.002     0.000     0.098        8  *Kernel#gem_original_require
  0.00      0.002     0.002     0.000     0.000     6019   Hash#[]
  0.00      0.006     0.002     0.000     0.004      217   <Class::BinData::Base>#register_subclasses
  0.00      0.002     0.002     0.000     0.000     1510   String#to_s
  0.00      0.050     0.002     0.000     0.048      771  *BinData::SanitizedParameters#initialize
